(get) close to,[],接近
Abu Simbel,[],阿布辛波古庙
Africa,[5AfrikE],n.非洲
African,[5AfrikEn],n.非洲人//adj.非洲的
Asia,[5eiFE],n.亚洲
Aswan,[],n.阿斯旺(埃及城市)
Baker,[5beikE],贝克(姓氏)08:58:51
Bedford,[5bedfEd],"贝德福德(①英格兰中部 Bedfordshire 郡首府 ②美国 Ohio 州东北的一个城市 ③=Bedfordshire ④男子名) 亲密的, 闷气的//adv.接近, 紧密"
Belfast,[bel5fB:st],n.贝尔法斯特
Belgium,[5beldVEm],"n.比利时(西欧国家,首都布鲁塞尔Brussels) 施加压力"
Bob Geldof,[],鲍勃·吉尔道夫(人名)
Cardiff,[5kB:dif],n.加的夫(威尔士之主要海港)械弑辈?
Coca Cola,[],n.可口可乐
DNA,[],deoxyribonucleic acid 脱氧核糖核酸
Dublin,[5dQblin],"n.都柏林, 爱尔兰共和国的首都"
ENT,[],"ears,nose,throat [医]耳鼻喉科"
East Africa,[],东部非洲
Edinburgh,[5edinbErE],n.爱丁堡(英国苏格兰首府)
Egypt,[5i:dVipt],n.埃及
Engels,[5engEls],"恩格斯(①姓氏 ②Friedrich, 1820-1895, 德国社会主义者, 马克思主义的创始者之一)adj.卑鄙的, 低级的"
Eric,[],n. 埃里克（男子名）
Gary,[5gZEri],"加里(男名), 美国城市"
George Stephenson,[],乔治·史蒂文森
Ireland,[5aiElEnd],n.爱尔兰
Irish,[5aiEriF],"n.爱尔兰人, 爱尔兰语, 爱尔兰//adj.爱尔兰的, 爱尔兰人的"
Jeanne,[dVi:n],n.珍妮(Joanna的异体)(f.)
Karl Marx,[],卡尔·马克思
Lively,[],莱夫利(姓)
Lizzy,[],利齐(女名)
Lynn,[lin],"林恩(姓氏, 男子名, 女子名), 操纵, 抑制"
Mathilde Loisel,[ma5ti:ld lwa5zel],玛蒂尔德·卢瓦泽尔
Middle East,[],"n.中东(一般泛指欧,亚,非三大洲连接的地区)"
Ms.,[mis],女士
Nile,[nail],n.尼罗河(非洲东北部河流)晒
Northern Ireland,[],n.北爱尔兰自治区(在爱尔兰东北部)?
Notco,[],n.诺特可(公司名)
Pat,[pAt],"帕特(男子名, Patrick的昵称) 内科的, <古>(医)药的"
Pattis,[],帕蒂思(姓)
Paula,[5pC:lE],n. 保拉（女子名）
Peter,[5pi:tE],n. 彼得（男子名）
Pierre,[pi(:)5ZE; peE],"皮埃尔(男子名, Peter 的异体)? 逼真地描述"
Republic of Ireland,[],爱尔兰共和国(欧洲)
Sao Paulo,[],圣保罗(巴西城市)
Scotland,[5skCtlEnd],"n.苏格兰(英国的一部分,在不列颠北部)"
Scots,[skCts],"n.苏格兰人[语]//adj.苏格兰的, 苏格兰人[语]的"
Scottish,[5skCtiF],"adj.苏格兰的, 苏格兰人的"
Sharon,[],n. 莎伦（女子名）
Spain,[spein],n.西班牙(欧洲南部国家)三大洲连接的地区)
Thames,[temz],"n.泰晤士河(流经牛津,伦敦等)地雷, 水"
UK,[],=United Kingdom 联合王国
Wales,[weilz],威尔士[英国]
Welsh,[welF],adj.（英国）威尔士(Welsh)的
Will,[],威尔(男名)
a.m.,[7ei 5em],午前，上午
accept,[Ek5sept],"vt.接受, 认可, 承担, 承兑//vi.同意, 承认"
advise,[Ed5vaiz],"vt.劝告, 忠告, 警告, 建议"
after all,[],adv.毕竟
agree to do sth.,[],同意做某事
agriculture,[5AgrikQltFE],"n.农业, 农艺, 农学"
airline,[5ZElain],n.定期航线
alarm,[E5lB:m],"n.警报, 惊慌, 警告器//vt.恐吓, 警告"
alive,[E5laiv],"adj.活着的, 活泼的"
all sorts of,[],各种各样的
army,[5B:mi],"n.陆军, 军队, 大群, 大军"
article,[5B:tikl],"n.文章, 论文, 物品, 商品, 项目, 条款//v.清楚说出//adj.表达清晰的"
at breakfast,[],早餐时；正吃早饭
at present,[],"adv.现在, 目前"
at the end (of),[],最后；尽头
at the most,[],至多；不超过
at the same time,[],"adv.同时, 但是"
attend,[E5tend],"vt.出席, 参加, 照顾, 护理, 注意//vi.专心, 留意"
attention,[E5tenFEn],"n.注意, 关心, 关注, 注意力, (口令)立正!"
ball,[bC:l],"n.球, 球状物, 子弹, 舞会, 尽情地玩"
bamboo,[bAm5bu:],n.竹子
base,[beis],"n.底部, 基础, 根据地, 基地, 本部, 基数, (运动)出发点//vt.以...作基础, 基于...// adj.卑鄙的, 低级的"
be busy with,[],忙于
be fond of,[],"v.喜爱, 爱好"
be made up of,[],由...组成
be rich in,[],含有丰富的...
bedclothes,[5bedklEuTz],"n.铺盖, 床单被褥类"
before long,[],adv.不久以后
belong,[bi5lCN],"vi.属于, 住"
belong to,[],v.属于
belt,[belt],"n.带子, 地带"
boss,[bCs],"n.老板, 上司//vt.指挥"
call at (a place),[],访问(某地)
call back,[],"v.叫回来, 收回, 打回电"
call on,[],"v.号召, 呼吁, 邀请, 访问, 指派, 要(学生)回答问题"
calorie,[5kAlEri],n.卡路里
careless,[5kZElis],"adj.粗心的, 疏忽的"
carelessly,[],"adv.不注意地, 粗心地"
carve,[kB:v],"v.雕刻, 切开"
case,[keis],"n.事, 病例, 案例, 情形, 场合, 讼案, 容器, (语法)格"
catch fire,[],着火
cause,[kC:z],"n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业//vt.引起, 惹起, 使(发生), 促成"
ceiling,[5si:liN],"n.天花板, 最高限度"
chimney,[5tFimni],"n.烟囱, 灯罩"
chocolate,[5tFCkElit],"n.巧克力, 巧克力色"
church,[tFE:tF],"n.教堂, 礼拜堂, 教会, 教派, [宗]礼拜"
close,[klEuz],"v.关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围//n.结束//adj.近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的//adv.接近, 紧密地"
cloth,[klC(:)W],"n.布, 织物, 衣料"
coal,[kEul],n.煤//v.加煤
coast,[kEust],"n.海岸, 滑坡//v.沿海岸而行"
collect,[kE5lekt],"v.收集, 聚集, 集中, 搜集//adj.由收件人付款的//adv.由收件人付款地"
college,[5kClidV],"n.(综合大学中的)学院, (独立的)学院, <美>大学, <英>公学, 书院, 高等专科学院, 大学, 学会"
come across,[],"v.来到, 偶遇, <口>给人印象深刻//不期而遇,交付"
come out,[],"v.出来, 长出, 传出, 褪去, 被展出, 被解出, 露出, 罢工//出现,真相大白"
come to,[],"v.达到, 继承, 复苏, 停止//想起,共计"
communism,[5kCmjunizEm],n.共产主义
completely,[kEm5pli:tli],"adv.十分, 完全地"
concert,[5kCnsEt],"n.音乐会, 一致"
condition,[kEn5diFEn],"n.条件, 情形, 环境, 社会地位//vt.以...为条件, 使达到要求的情况"
conference,[5kCnfErEns],"n.会议, 讨论会, 协商会"
contain,[kEn5tein],"vt.包含, 容纳, 容忍//vi.自制//v.[军]牵制(敌军)//v.[数]可被...除尽"
continent,[5kCntinEnt],"n.大陆, 陆地"
continue,[kEn5tinju:],"v.继续, 连续, 延伸"
control,[kEn5trol],"n.控制, 支配, 管理, 调节, 抑制, 控制器, 调节装置//vt.控制, 支配, 管理(物价等), 操纵, 抑制"
copy,[5kCpi],"n.副本, 拷贝, 摹仿, 一册//v.复印, 复制, 拷贝, 抄袭"
countryside,[5kQntrisaid],"n.乡下地方, 乡下居民"
crisp,[krisp],"adj.脆的, 易碎的"
cross,[krCs],"n.十字, 交叉, 十字架, 十字形物//adj.交叉的, 相反的, 乖戾的//v.使交叉, 横过, 勾划, 错过, 反对, 杂交"
cut up,[],"v.切碎, 抨击, 歼灭, 使丧气, 胡闹"
dam,[dAm],"n.水坝, 障碍//v.控制, 筑坝"
date from,[],属于(某一历史时期)
deer,[diE],n.鹿
degree,[di5gri:],"n.度数, 度, 程度, [律](罪行的)轻重, 学位, 地位, 身份, [数]次数"
department,[di5pB:tmEnt],"n.部, 局, 处, 科, 部门, 系, 学部"
describe,[dis5kraib],"vt.描写, 记述, 形容, 形容//v.描述"
description,[dis5kripFEn],"n.描写, 记述, 形容, 种类, 描述"
design,[di5zain],"n.设计, 图案, 花样, 企图, 图谋, (小说等的)构思, 纲要//v.设计, 计划, 谋划, 构思"
designer,[di5zainE],"n.阴谋家,设计家,制图师"
develop,[di5velEp],"vt.发展, 发达, 发扬, 进步, 逐步展开(情节,音乐主题,方程式等)洗印, 显影//vi.发展, 生长, 发育, 逐步显示出来"
development,[di5velEpmEnt],n.发展
diamond,[5daiEmEnd],"n.钻石, 菱形"
die of,[],因某病而死
diet,[5daiEt],"n.通常所吃的食物, 会议"
disappear,[7disE5piE],"vi.消失, 不见"
discuss,[dis5kQs],"vt.讨论, 论述"
discussion,[dis5kQFEn],n.讨论
disease,[di5zi:z],"n.疾病, 弊病"
divide,[di5vaid],"v.分, 划分, 分开, 隔开"
divide...into...,[],把…分成…
doctor,[5dCktE],"n.医生, 博士, [古]学者, <俚>修理师//vt.授以博士学位, 诊断, 修改, <美>治疗, 搀混(食物、饮料), 修改//vi.行医"
duke,[dju:k],"n.公爵<俚> 手, 拳头"
