Albert Einstein,[5AlbEt 5ainstain],阿尔伯特·爱因斯坦
Austrian,[5CstriEn],"n.奥地利人//adj.奥地利的, 奥地利人的"
Beethoven,[5beitEuvEn],"n.贝多芬(1770-1827,德国大作曲家)//prep.在...之内, 不越出//adj.里"
California,[kAli5fC:njE],"n.加利福尼亚, 加州"
Canada,[5kAnEdE],n.加拿大
Carl,[kB:l],n. 卡尔（男子名）
Chinese boxing,[],n.太极拳
Dr. Sun Yat-sen,[],孙逸仙博士，即孙中山
Englishman,[5iNgliFmEn],"n.英吉利人, 英国人"
France,[frB:ns],"n.法国, 法兰西"
Golden Gate Bridge,[],金门桥
Haydn,[5haidn],n.海顿（奥地利作曲家，1732－1809）
Italy,[5itEli],n.意大利(欧洲南部国家)
Japan,[dVE5pAn],n.日本
Joe,[dVEu],n.乔
Mark Twain,[5mB:k5twein],"n.马克·吐温(1835-1910,美国小说家) 严格"
Marxist,[5mB:ksist],adj.马克思主义的//n.马克思主义者
Mozart,[5mEutsB:t],"n.莫扎特(1756-1791,奥地利作曲家,维也纳古典乐派主要代表)? 怀疑"
Norman,[5nC:mEn],"n.法国诺曼第人//adj.诺曼第的, 诺曼第人[语]的"
Norway,[5nC:wei],n.挪威(北欧国家)国家)
Penny Black,[],黑色便士
Robert,[5rCbEt],n.罗伯特
San Francisco,[7sAnfrEn5siskEu],n.旧金山(美国加利福尼亚西部港市)?
San Francisco Bay,[],旧金山湾
Sir Rowland Hill,[],罗兰·希尔爵士
Spain,[spein],"n.西班牙(欧洲南部国家).吠, 使走投无路//vi.吠"
Sweden,[5swi:dn],n.瑞典
Turner,[5tE:nE],特纳(姓氏)09:36:04
Vienna,[vi5enE],n.维也纳[奥地利首都]
a basin of,[],一盆…
a block of,[],一大块…
a drop of,[],一滴…
a great deal,[],n.大量
a type of,[],一种类型的…
abacus,[5AbEkEs],n.算盘
across,[E5krCs],"adv.横过, 交叉地, 在对面//prep.越过, 交叉, 在...的那边, 在...对面那边"
active,[5Aktiv],"adj.积极的, 能起作用的, 现行的, [语法]主动的, 活动的, 活跃的, 活性的//n.[语法] 主动语态, 积极分子"
activity,[Ak5tiviti],"n.活跃, 活动性, 行动, 行为, [核]放射性"
adding machine,[],"n.加法机, 算术计算机"
adopt,[E5dCpt],"vt.采用, 收养"
agree,[E5gri:],"vi.同意, 赞成...的意见, 与...一致, 承认, 适合//vt.同意"
all over the country,[],遍及全国
all the time,[],adv.始终
aloud,[E5laud],adv.大声地
anytime,[5enitaim],"adv.任何时候, 无论何时"
apology,[E5pClEdVi],"n.(为某种思想, 宗教, 哲学等)辩解, 道歉"
appreciate,[E5pri:Fieit],"vt.赏识, 鉴赏, 感激//vi.增值, 涨价"
attend,[E5tend],"vt.出席, 参加, 照顾, 护理, 注意//vi.专心, 留意"
bad manners,[],没有礼貌
badly,[5bAdli],"adv.严重地, 恶劣地"
balance,[5bAlEns],"n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额//v.平衡, 称, 权衡, 对比, 结算//n.资产平稳表"
basin,[5beisn],"n.盆, 盆地, 水池"
bay,[bei],"n.海湾, 狗吠声, 绝路//vt.吠, 使走投无路//vi.吠"
be careful,[],当心，小心
be covered with,[],"盖着, 覆着"
be on strike,[],举行罢工
be proud of,[],"v.自豪, 高兴"
beef,[bi:f],n.牛肉
bicycle,[5baisikl],"n.脚踏车, 自行车"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
boxing,[5bCksiN],n.拳击
bring out,[],"v.使显示, 出版, 生产, 说出"
building,[5bildiN],"n.建筑物, 营造物(如房屋,大楼,工厂,船等) 确定//v.建立"
burn,[bE:n],"v.烧, 烧焦, 点(灯), 使感觉烧热//n.烧伤, 灼伤"
business,[5biznis],"n.商业, 买卖, 交易, 生意, 事情, 事物, 营业, 商行"
butter,[5bQtE],"n.黄油, 牛油//vt.涂黄油于...上"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
by and by,[],adv.不久以后
call on,[],"v.号召, 呼吁, 邀请, 访问, 指派, 要(学生)回答问题"
castor,[5kB:stE],"n.调味瓶, 车辘, 小脚轮"
castor oil,[],n.蓖麻油
cattle,[5kAtl],"n.牛, 家养牲畜"
century,[5sentFuri; -tFEri],"n.世纪, 百年, 百个, 板球中的一百分, 百元(钞票)玫"
certain,[5sE:tEn],"adj.确定的, 某一个, 无疑的, 必然的, 可靠的//pron.某几个, 某些"
change...into,[],把…变成
character,[5kAriktE],"n.(事物的)特性, 性质, 特征(的总和), (人的)品质, 字符, 性格, 特征, 人物//vt.写, 刻, 印, 使具有特征"
charcoal,[5tFB:kEul],n.木炭
charm,[tFB:m],"n.吸引力, (女人的)魔力, 魅力, 符咒//vt.迷人, 使陶醉, 行魔法//vi.用符咒, 有魔力"
chemical,[5kemikEl],"adj.化学的//n.化学制品, 化学药品//n.化学药品"
clap,[klAp],"n.拍手声, 霹雳声//v.鼓掌, 轻拍"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)"
clear,[kliE],"adj.清楚的, 清晰的, 清澈的, 光亮的, 空旷的, 有条理的//adv.清楚地, 完全地//v.扫除, 清除, 晴, 跳过, 净得"
coach,[kEutF],"n.四轮大马车, 长途汽车, 教练//v.训练, 指导"
communism,[5kCmjunizEm],n.共产主义
communist,[5kCmjunist],"n.共产主义者, 共产党员adj.共产主义者的"
company,[5kQmpEni],"n.公司, 陪伴, (一)群, (一)队, (一)伙, 连, 连队"
complete,[kEm5pli:t],"adj.全部的, 完全的, 完成的//vt.完成, 使完善"
completely,[kEm5pli:tli],"adv.十分, 完全地"
compose,[kEm5pEuz],"v.组成, 写作, 排字, (使)安定, 调解"
composer,[kCm5pEuzE],"n.作家, 作曲家, 设计者, 著作者"
composition,[kCmpE5ziFEn],"n.写作, 作文, 成分, 合成物"
compute,[kEm5pju:t],"v.计算, 估计, 用计算机计算(或确定)? 资料, 起诉"
computer,[kEm5pju:tE],"n.计算机, 电脑"
condition,[kEn5diFEn],"n.条件, 情形, 环境, 社会地位//vt.以...为条件, 使达到要求的情况"
cord,[kC:d],"n.绳索, 束缚"
cover,[5kQvE],"n.盖子, 封面, 藉口//vt.覆盖, 铺, 掩饰, 保护, 掩护, 包括, 包含, 适用//vi.覆盖, 涂, 代替"
cross,[krCs],"n.十字, 交叉, 十字架, 十字形物//adj.交叉的, 相反的, 乖戾的//v.使交叉, 横过, 勾划, 错过, 反对, 杂交"
deaf,[def],adj.聋的
death,[deW],"n.死, 死亡, 致死的原因, 毁灭, 屠杀"
deer,[diE],n.鹿
destroy,[dis5trCi],"vt.破坏, 毁坏, 消灭//v.消灭, 摧毁"
dip,[dip],"v.浸, 蘸, 沾"
dip...into...,[],把…浸入(液体)中
direct,[di5rekt; dai5rekt],"adj.径直的, 直接的, 直系的, 直率的, [天]由西向东运行的, 顺行的//adv.直接地//vt.指引, 指示, 指挥, 命令, 导演//vi.指导, 指挥"
disappear,[7disE5piE],"vi.消失, 不见"
drop,[drCp],"v.滴下, 落下, (使声音等)变弱, (使价格等)下降, 使跌倒, 使结束, 不再讨论, 停止与(某人)交往//n.落下, 下降, 滴, 滴剂, 点滴, 微量, 下跌"
dry,[drai],"adj.干的, 干燥的, 口渴的//vt.(使)干燥, (使)变干//v.干燥"
dump,[dQmp],"vt.倾倒(垃圾), 倾卸//n.堆存处"
dustbin,[5dQstbin],"n.<英> 垃圾箱(=<美>ash can ,garbage can或garbage box), 顺行的"
dustman,[5dQstmEn],n.清洁工
either,[5aiTE(r)7 C7:QF:CF],"adj.任一的, (两方中的)每一方的//pron.任一, 随便任一个//conj.或者, 也"
either...or...,[],或者…或者…
empty,[5empti],"adj.空的, 空洞的, 空虚的//vt.使成为空的, 倒空//v.倒空//adj.空的,空闲的//v.腾空, 腾出来"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
escape,[is5keip],"n.逃, 逃亡, 溢出设备, 出口, 逃跑, [植]野生//vi.逃脱, 避开, 溜走//vt.逃避, 避免, 被忘掉"
