abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
abashed,[E5bAFt],"adj.不安的, 窘迫的"
abate,[E5beit],"vt.使(数量、程度等)减少, 减轻, 除去, 缓和, 打折扣//vi.(数量、程度等)减少, 减轻, 失效, 缓和, (法令等)被废除"
abdicate,[5Abdikeit],"v.退位, 放弃(职位,权力等)//v.扭曲, 扭歪"
abduct,[Ab5dQkt],"vt.诱拐, 绑架"
abhor,[Eb5hC:],"vt.憎恶, 痛恨"
abhorrent,[Eb5hCrEnt],"adj.可恶的, 格格不入的"
abide,[E5baid],"vi.坚持, 遵守//vt.忍受, 容忍"
ability,[E5biliti],"n.能力, 才干"
abject,[5AbdVekt],"adj.卑鄙的, 可怜的"
ablaze,[E5bleiz],"adj.adv.着火的, 激动的, 闪耀的"
ablution,[E5blu:FEn],n.清洗
abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
abolish,[E5bCliF],"vt.废止, 废除(法律、制度、习俗等)"
aboriginal,[7AbE5ridVEnEl],"adj.土著的, 原来的//n.土著居民"
abortive,[E5bC:tiv],"adj.早产的, 流产的, 失败的//adj.夭折的,异常终止的,中断的"
abridge,[E5bridV],"v.删节, 削减, 精简"
absolute,[5AbsElu:t],"adj.完全的, 绝对的"
absolve,[Eb5zClv],v.宣布免除
absorb,[Eb5sC:b],"vt.吸收, 吸引"
absorbing,[Eb5sC:biN],"adj.吸引人的, 非常有趣的"
abstain,[Eb5stein],"v.禁绝, 放弃"
abstinence,[5AbstinEns],"n.节制, 节欲, 戒酒"
abstract,[5AbstrAkt],"n.摘要, 概要, 抽象//adj.抽象的, 深奥的, 理论的//vt.摘要, 提炼, 抽象化"
abstract painting,[],抽象画
abstraction,[Ab5strAkFEn],n.提取
abstruse,[Ab5stru:s],"adj.奥妙的, 深奥的"
absurd,[Eb5sE:d],"adj.荒谬的, 可笑的"
abundant,[E5bQndEnt],"adj.丰富的, 充裕的, 丰富, 盛产, 富于"
abuse,[E5bju:z],"n.滥用, 虐待, 辱骂, 陋习, 弊端//v.滥用, 虐待, 辱骂"
abyss,[E5bis],n.深渊
academic,[7AkE5demik],"adj.学院的, 理论的"
accelerate,[Ak5selEreit],"v.加速, 促进"
accentuate,[Ak5sentjueit],"v.重读, 强调, 着重强调"
access,[5Akses],"n.通路, 访问, 入门//vt.存取, 接近"
accidental,[7Aksi5dentl],"adj.意外的, 非主要的, 附属的//n.非本质属性, 次要方面"
acclaim,[E5kleim],"n.喝彩, 欢呼v.欢呼, 称赞"
acclimate,[E5klaimit],"vt.使适应新环境, 使服水土//vi.服水土, 适应"
accommodate,[E5kCmEdeit],"vt.供应, 供给, 使适应, 调节, 和解, 向...提供, 容纳, 调和//vi.适应"
accompany,[E5kQmpEni],"vt.陪伴, 伴奏"
accomplice,[E5kCmplis],"n.同谋者, 帮凶"
accomplished,[E5kCmpliFt],"adj.完成的, 熟练的, 多才多艺的"
accost,[E5kCst],"vt.对...说话, 搭话"
account,[E5kaunt],"n.计算, 帐目, 说明, 估计, 理由//vi.说明, 总计有, 认为, 得分//vt.认为"
accredit,[E5kredit],"vt.信任, 授权, 归于"
accumulate,[E5kju:mjuleit],"v.积聚, 堆积"
accurate,[5Akjurit],"adj.正确的, 精确的"
accurate at,[],对...很正确
accusation,[Akju(:)5zeiFEn],"n.谴责, [律]指控"
accuse,[E5kju:z],"vt.控告, 谴责, 非难"
accustomed,[E5kQstEmd],"adj.通常的, 习惯的, 按照风俗习惯的"
achieve,[E5tFi:v],"vt.完成, 达到"
acid,[5Asid],"n.[化]酸, <俚>迷幻药//adj.酸的, 讽刺的, 刻薄的"
acknowledge,[Ek5nClidV],"vt.承认, 答谢, 报偿"
acme,[5Akmi],"n.顶点, 极致"
acquire,[E5kwaiE],"vt.获得, 学到"
acquisitive,[E5kwizitiv],"adj.想获得的, 有获得可能性的, 可学到的"
acquit,[E5kwit],"vt.宣告无罪, 脱卸义务和责任, 还清(债务)提供, 容纳, 调和"
acrid,[5Akrid],"adj.辛辣的, (言语或语调)刻薄的"
acrimonious,[7Akri5mEunjEs],"adj.严厉的, 辛辣的"
acrimony,[5AkrimEni],"n.言谈举止上的刻毒, 讽刺, 毒辣"
acting,[5AktiN],"adj.代理的, 起作用的, 演戏的"
action,[5AkFEn],"n.动作, 作用, 战斗, 行动, 举动, 行为, (戏剧或书中)的情节, (某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动//vt.对...起诉"
active,[5Aktiv],"adj.积极的, 能起作用的, 现行的, [语法]主动的, 活动的, 活跃的, 活性的//n.[语法] 主动语态, 积极分子"
actor,[5AktE],"n.男演员, 行动者, 参与者"
actual,[5AktjuEl],"adj.实际的, 真实的, 现行的, 目前的"
acumen,[E5kju:mEn],"n.敏锐, 聪明"
acute,[E5kju:t],"adj.敏锐的, [医]急性的, 剧烈"
acute angle,[],n.锐角
adage,[5AdidV],"n.格言, 谚语"
adamant,[5AdEmEnt],adj.坚硬的
adapt,[E5dApt],"vt.使适应, 改编"
adaptable,[E5dAptEbl],"adj.能适应的, 可修改的"
adaptation,[7AdAp5teiFEn],"n.适应, 改编, 改写本"
addendum,[E5dendEm],"n.附录, 补遗"
adder,[5AdE],"n.[计]加法器, [动](欧洲产)蝰蛇(小毒蛇), (北美产无毒的)猪鼻蛇"
addict,[E5dikt],"vt.使沉溺, 使上瘾//n.入迷的人, 有瘾的人"
addicted,[E5diktid],adj.沉溺于某种嗜好中的
addle,[5Adl],"vt.使腐坏, 使糊涂//adj.腐坏的"
adept,[5Adept; E5dept],"adj.熟练的, 拿手的//n.老手, 擅长者"
adept at,[],熟练于...
adequate,[5Adikwit],"adj.适当的, 足够的"
adhere,[Ed5hiE],"vi.粘附, 胶着, 坚持//v.坚持"
adherent,[Ed5hiErEnt],"n.信徒, 追随者, 拥护者"
adhesive,[Ed5hi:siv],"adj.带粘性的, 胶粘//n.粘合剂"
adjacent,[E5dVeisEnt],"adj.邻近的, 接近的"
adjoin,[E5dVCin],"v.邻接, 毗连"
adjoining,[E5dVCiniN],"adj.邻接的, 隔壁的"
adjourn,[E5dVE:n],"vi.延期, 休会, 换另一 个地方//vt.使中止, 推迟"
adjust,[E5dVQst],"vt.调整, 调节, 校准, 使适合"
administer,[Ed5ministE],"v.管理, 给予, 执行"
administration,[Edminis5treiFEn],"n.管理, 经营, 行政部门"
admirable,[5AdmErEbl],"adj.令人倾佩的, 值的赞美的, 绝妙的, 极好的"
admiration for,[],对...赞赏
admire,[Ed5maiE],"v.赞美, 钦佩, 羡慕"
admit,[Ed5mit],"v.容许, 承认, 接纳"
admonish,[Ed5mCniF],"vt.劝告, 训诫, 警告"
adopt,[E5dCpt],"vt.采用, 收养"
adore,[E5dC:],"v.崇拜, 爱慕, (口语)喜爱"
adroit,[E5drCit],"adj.熟练的, 机捷的"
adulation,[7Adju`leiFEn],"n.奉承, 阿谀"
adulteration,[],"n.掺杂, 掺假货"
advance,[Ed5vB:ns],"n.前进, 提升, 预付款//v.前进, 提前, 预付//adj.前面的, 预先的//预付(款项)煊"
adventitious,[7Adven5tiFEs],"adj.偶然的, 外来的"
adverse,[5AdvE:s],"adj.不利的, 敌对的, 相反的"
adversity,[Ed5vE:siti],"n.不幸, 灾祸, 逆境"
advice,[Ed5vais],"n.忠告, 建议, [商]通知"
advisable,[Ed5vaizEbl],"adj.可取的, 明智的"
advise,[Ed5vaiz],"vt.劝告, 忠告, 警告, 建议"
advocate,[5AdvEkit],"n.提倡者, 鼓吹者//vt.提倡, 鼓吹"
aesthetic,[i:s5Wetik],"adj.美学的, 审美的, 有审美感的"
affable,[5AfEbl],adj.和蔼可亲的
affect,[E5fekt],"vt.影响, 感动, 侵袭, 假装"
affection,[E5fekFEn],"n.友爱, 爱情, 影响, 疾病, 倾向"
affectionate,[E5fekFEnit],"adj.亲爱的, 挚爱的"
affinity,[E5finiti],"n.密切关系, 吸引力, 姻亲关系, 亲合力"
affirm,[E5fE:m],"v.断言, 确认, 肯定"
afflict,[E5flikt],"vt.使痛苦, 折磨"
afflicting,[],痛苦的
affluence,[5AfluEns],"n.富裕, 富足"
affluent,[5AfluEnt],"adj.丰富的, 富裕的"
afford,[E5fC:d],"vt.提供, 给予, 供应得起"
afraid,[E5freid],"adj.害怕, 担心"
after,[5B:ftE],"adv.prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的"
age,[eidV],"n.年龄, 成年, 使用年限, 同时期的人, 时代//v.变老, 上年纪, 成熟"
aged,[5eidVid],"adj.年老的, ...岁的, 老年人特有的"
agenda,[E5dVendE],n.议程
aggravate,[5AgrEveit],"vt.使恶化, 加重"
aggregate,[5Agrigeit],"n.合计, 总计, 集合体//adj.合计的, 集合的, 聚合的//v.聚集, 集合, 合计"
aggression,[E5greFEn],"n.进攻, 侵略"
aggressive,[E5gresiv],"adj.好斗的, 敢作敢为的, 有闯劲的, 侵略性的"
aghast,[E5gB:st],"adj.惊骇的, 吓呆的"
agile,[5AdVail],"adj.敏捷的, 轻快的, 灵活的"
agility,[E5dViliti],"n.敏捷, 活泼"
agitate,[5AdViteit],"v.搅动, 摇动, 煽动, 激动"
aglow,[E5glEu],"adj.通红的, 发红的//adv.发红地"
agonize,[5AgEnaiz],"vt.使极度痛苦, 折磨//vi.感到极度痛苦"
agony,[5AgEni],"n.苦恼, 极大的痛苦"
agrarian,[E5grZEriEn],"adj.有关土地的, 耕地的"
agree,[E5gri:],"vi.同意, 赞成...的意见, 与...一致, 承认, 适合//vt.同意"
agreeable,[E5griEbl],"adj.使人愉快的, 惬意的, 适合的"
agriculture,[5AgrikQltFE],"n.农业, 农艺, 农学"
aim,[eim],"n.目标, 目的, 瞄准//v.对...瞄准, 打算"
airport,[5ZEpC:t],"n.<主美>小型民用机场, 私人飞机降落场"
airship,[5ZEFip],"n.飞艇, 飞船"
ajar,[E5dVB:],adj.(门窗等) 微开的
alert,[E5lE:t],"adj.提防的, 警惕的//n.警惕, 警报"
algebra,[5AldVibrE],n.代数学
alien,[5eiljEn],"n.外侨//adj.外国的, 相异的, 不同, 背道而驰"
alienate,[5eiljEneit],v.疏远
alight,[E5lait],"vi.落下//adj.点着的, 发亮的"
alimentation,[7Alimen5teiFEn],n.营养
alkali,[5AlkElai],n.[化]碱//adj.碱性的
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
all ready,[],一切就绪
allay,[E5lei],"vt.减轻, 减少"
allege,[E5ledV],"vt.宣称, 断言"
allegiance,[E5li:dVEns],"n.忠贞, 效忠"
allegory,[5AligEri],n.寓言
alleviate,[E5li:vieit],"vt.使(痛苦等)易于忍受, 减轻"
alliance,[E5laiEns],"n.联盟, 联合"
allocate,[5AlEukeit],"vt.分派, 分配"
allot,[E5lCt],"vt.(按份额)分配, 分派"
allow,[E5lau],"vt.允许, 承认"
allude,[E5lju:d],"vi.暗指, 影射, 间接提到"
allure,[E5ljuE],v.吸引
allusion,[E5l(j)u:VEn],"n.提及, 暗示"
ally,[E5lai; A5lai],"v.结盟, 与...(在血统, 性质等上)有关联, 同盟//n.同盟国, 支持者"
almost,[5C:lmEust],"adv.几乎, 差不多"
alone,[E5lEun],"adj.单独的, 独一无二的, 孤独的, 独自的//adv.独自地"
already,[C:l5redi],adv.已经
alternate,[C:l5tE:nit],"adj.交替的, 轮流的, 预备的//v.交替, 轮流, 改变"
alternative,[C:l5tE:nEtiv],"n.二中择一, 可供选择的办法, 事物//adj.选择性的, 二中择一的"
altruism,[5AltruizEm],"n.利他主义, 利他"
aluminum,[E5lju:minEm],n.[化]铝
alumnus,[E5lQmnEs],"n.男毕业生, 男校友"
amalgamate,[E5mAlgEmeit],"v.使与汞混合, 合并"
amass,[E5mAs],"vt.收集, 积聚(尤指财富)孤独的, 独自的"
