aborigines,[7AbE5ridVini:z],"n.土著, 原居民, (Aborigines)澳大利亚土著居民,土生动物(或植物)群"
above all,[],"adv.最重要, 首先"
absent,[5AbsEnt],"adj.不在的, 缺席的, 缺少的//vt.缺席"
according,[E5kC:diN],adv.依照
according to,[],v.依照
ache,[eik],"n.疼痛//vi.觉得疼痛, 渴望"
actual,[5AktjuEl],"adj.实际的, 真实的, 现行的, 目前的"
ad,[Ad],"n.广告//[域] Andorra , 安道尔//abbr.[军] Air Defense, 防空"
admire,[Ed5maiE],"v.赞美, 钦佩, 羡慕"
adopt,[E5dCpt],"vt.采用, 收养"
advantage,[Ed5vB:ntidV],"n.优势, 有利条件, 利益"
adventure,[Ed5ventFE],"n.冒险, 冒险的经历//v.冒险"
advertise,[5AdvEtaiz],"v.做广告, 登广告"
advertisement,[Ed5vE:tismEnt],"n.广告, 做广告"
aeroplane,[5ZErEplein],n.飞机
agreement,[E5gri:mEnt],"n.同意, 一致, 协定, 协议"
aim,[eim],"n.目标, 目的, 瞄准//v.对...瞄准, 打算"
aircraft,[5ZEkrB:ft],n.航行器
Alaska,[E5lAskE],n.阿拉斯加州(美国州名)栖无尾动物)地//n.内地
aleutian islands,[],"n.阿留申群岛(环布于阿拉斯加半岛尖端的弧形岛屿)? 撕破, 猛冲, 飞"
aloud,[E5laud],adv.大声地
anger,[5ANgE],"n.怒, 愤怒//v.恼火"
Antonio,[An5tEuniEu],安东尼奥(男子名))
anyhow,[5enihau],"adv.无论如何, 总之"
apart,[E5pB:t],"adv.分离, 分成零件, 分别地, 分离着//adj.分开的"
apartment,[E5pB:tmEnt],"n.<美>公寓住宅, 单元住宅, 房间"
argue,[5B:gju:],"vi.争论, 辩论//vt.说服"
argument,[5B:gjumEnt],"n.争论, 辩论, 论据, 论点, ～ (for,against), 意见"
As well,[],"倒不如, 还是...的好// 最好...还是(It will be As well to stop that young screamer. 但是最好还是让那个大哭大叫的孩子住声。)"
ash,[AF],"n.灰, 灰烬, [植]岑树"
ashamed,[E5Feimd],"adj.惭愧的, 羞耻的"
ashtray,[5AFtrei],n.烟灰缸
astonishing,[Es5tCniFiN],adj.可惊异的
at least,[],adv.至少
at sea,[],"adv.(=all at sea)在大海上, 迷茫, 弄错"
at the mercy of,[],adv.受...支配
backward,[5bAkwEd],"adv.adj.向后地(的), 相反地(的), 追溯, 退步, 由好变坏"
backwards,[5bAkwEdz],adv.向后
bake,[beik],"v.烘焙, 烤, 烧硬"
balance,[5bAlEns],"n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额//v.平衡, 称, 权衡, 对比, 结算//n.资产平稳表"
Banks,[bANks],班克斯(姓氏):09:42
bar,[bB:(r)? 体操],"n.条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物//vt.禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业"
battlefield,[5bAt(E)lfi:ld],"n.战场, 沙场"
bay,[bei],"n.海湾, 狗吠声, 绝路//vt.吠, 使走投无路//vi.吠"
be in love with,[],"v.与...恋爱, 迷恋"
be proud of,[],"v.自豪, 高兴"
be seated,[],"v.坐下, 坐落于"
beach,[bi:tF],n.海滩
beam,[bi:m],"n.梁, 桁条, (光线的)束, 柱, 电波, 横梁//v.播送"
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
believe in,[],v.信仰
bench,[bentF],n.长椅子
Berlin,[bE:5lin],"n.(=Berlin wool)细毛线//n.柏林(德国城市)? 栅, 障碍物"
beyond,[bi5jCnd],"prep.在(到)...较远的一边, 超过, 那一边//adv.在远处//n.远处"
birth,[bE:W],"n.出生, 产生, 出身"
biscuit,[5biskit],"n.饼干, 小点心"
bitter,[5bitE],"adj.苦的, 痛苦的, 怀恨的"
blame,[bleim],"n.过失, 责备//vt.责备, 谴责"
bless,[bles],"vt.祝福, 保佑, <口>哎呀!我的天哪!"
board,[bC:d],"n.木板, (供特殊用途的)木板, 甲板, 膳食费用, 会议桌, 部//vt.用板盖上, 包饭, 提供膳食, 上(船、飞机等)"
body-building,[],"n.加强体质, 健美运动"
bonny,[5bCni],"adj.漂亮的, 健美的"
bookstore,[5bukstC:(r)7:C7:WE],n.书店
boring,[5bC:riN],n.钻(孔)//adj.令人厌烦的
botany,[5bCtEni],n.植物学
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
break into,[],"v.破门而入, 侵占"
break off,[],"v.中断, 折断, 突然停止, 脱落, 暂停, 断绝, 解除"
brick,[brik],"n.砖, 砖块, 砖形物(如茶砖,冰砖等), <口>心肠好的人"
bring in,[],"v.生产, 挣得, 介绍引进"
bucket,[5bQkit],"n.桶, 一桶的量, [桶状物]铲斗"
burst,[bE:st],"v.爆裂, 炸破, 急于, 爆发//n.突然破裂, 爆发, 脉冲"
burst into tears,[],突然大哭
butcher,[5butFE],"n.屠夫, 屠户//vt.屠宰, 屠杀"
cafe,[5kAfei; (?@) kA5fei],"n.咖啡馆, 小餐馆"
Cairo,[5kaiErEu],n.开罗(埃及首都)⒈缁
calm,[kB:m],"adj.(天气、海洋等)静的, 平静的, 镇静的, 沉着的//v.(使)平静, (使)镇定, 平息"
