Aleutian Islands,[],阿留申群岛
Angkor Thom,[],吴哥通
Angkor Wat,[],吴哥窟
Antonio,[An5tEuniEu],安东尼奥(男子名))
Banks,[bANks],班克斯(姓氏):08:13
Bassanio,[bE5sa:niEu],巴萨尼奥
Berlin,[bE:5lin],n.(=Berlin wool)细毛线//n.柏林(德国城市)? 脉冲
Bonny,[],邦妮(女名)
Cairo,[5kaiErEu],n.开罗(埃及首都)14
Cambodia,[kAm5bEudiE],"n.高棉, 柬埔寨"
Cambodian,[kAm`bEudiEn],"n.高棉人(语), 柬埔寨人(语)? 传播, 散布"
Cincinnati,[7sinsi5nAti],辛辛那提[美国俄亥俄州西南部城市]
Curie,[5kjuEri]," 居里(姓氏)// Marie, 1867-1934, 生于波兰的法国女物理学家、化学家，1898年与其夫皮埃尔共同发现镭，曾获1903年诺贝尔物理学奖、1911年诺贝尔化学奖// Pierre, 1859-1906, 法国物理学家、化学家，与其妻玛丽共同发现镭，曾获1903年诺贝尔物理学奖// 放射性强度单位=3.7×10的10次方衰变\秒"
Endeavour,[],n.奋力号(航船的名字)
Eric,[],n. 埃里克（男子名）
European Union,[],欧洲联盟
Ford,[fC:d],"福特(①姓氏 ②Henry, 1863--1947,美国汽车制造厂商 ③Gerald Rudolph, 1913-, 于1974-1976任美国第38任总统 ④Paul Leicester, 1865-1902 美国历史学家及小说家) 船尾搁浅"
Great Barrier Reef,[],大堡礁
Greek,[gri:k],"adj.希腊的, 希腊人的, 希腊语的//n.希腊人, 希腊语"
Hawaii,[hB:5waii:],"n.夏威夷, 夏威夷岛"
Holland,[5hClEnd],n.荷兰
Hong Kong,[`hCN`kCN],n.中国香港特别行政区
HongKong,[],n.香港
Hongkong,[],n.香港
Italian,[i5tAljEn],"n.意大利人, 意大利语//adj.意大利的, 意大利语的, 意大利文化的"
Italy,[5itEli],"n.意大利(欧洲南部国家)? 过于精致的, 珍爱的"
Java,[5dVB:vE],n.爪哇//n.一种新型的计算机语言
Kooris,[],n.古利人
Liverpool,[5livEpu:l],n.利物浦（英国英格兰西部港口城市）
Marie,[5mB:ri(:); mE5ri:],n. 玛丽（女子名）
Marxism,[5mB:ksizEm],n.马克思主义
Miles,[],n. 迈尔斯（男子名）
Nerissa,[ni5risE],n.尼莉莎(女名)
