America,[E5merikE],"n.<美>美国, 美洲(包括北美和南美洲)人付"
April Fools' Day,[],n.愚人节
April fool,[],"n.愚人节中受愚弄者, 愚弄的行为"
Arab,[5ArEb],adj.阿拉伯的//n.阿拉伯人
Arabian,[E5reibjEn],"adj.阿拉伯的, 阿拉伯人的"
Australia,[Cs5treiljE],"n.澳洲, 澳大利亚"
Australian,[Cs5treiliEn],"adj.澳洲的, 澳大利亚的, 澳大利亚人的//n.[地名] 澳大利亚"
Black,[blAk],"布莱克(①姓氏 ②Hugo La Fayette, 1886-1971, 美国法学家)合, 接合"
Boston,[5bCstEn],"n.波士顿(美国马萨诸塞州首府) 弄出来, 说出, 出版"
Brown,[braun],"布朗(姓氏)不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的//vt.呕"
Christmas,[5krismEs],"n.（纪念耶稣基督生的节日, 12月25日）圣诞节"
England,[5inglEnd],"n.英格兰(英国的主要部分), 英格兰和威尔士, 英国"
Europe,[5juErEp],n.欧洲
Evans,[5evEnz],埃文斯(姓氏):35:11
German,[5dVE:mEn],"n.德国人, 德语//adj.德国的, 德国人的, 德语的"
Hill,[hil],"希尔(①姓氏 ②Archibald Vivian, 1886-1977, 英国生理 学家, 曾获1922年诺贝尔生理学-医学奖)的"
Hungarian,[hQN5gZEriEn],adj.匈牙利的//n.匈牙利人
Jenny,[5dVeni],詹妮(女子名):35:07
Kathy,[`kAWi],n.凯西(Katherine 的昵称//亦作 Kathie)(f.)
League member,[],团员
Martin,[5mB:tin],"n.马丁(男子名)? 富有的, 富饶的, 肥沃的, 充足的, 丰富的"
Miss,[],=Man-ln-space simulator 人在宇宙空间的模拟装置
Paul,[pC:l],n.保罗
Smith,[smiW],"史密斯(①姓氏 ②Adam, 1723-1790, 英国经济学家)等)"
TV play,[],电视剧
UN (United Nations),[],联合国
What next?,[],下一步会怎么样呢？
White,[(h)wait],怀特(姓氏)
a dolphin trainer,[],训练海豚的人
able,[5eibl],"adj.能...的, 有才能的, 能干的, 能够的"
above,[E5bQv],"adj.上面的, 上述的, 上文的//adv.在上面//prep.在...上方, 过于, 超出"
according to,[],v.依照
advice,[Ed5vais],"n.忠告, 建议, [商]通知"
ahead,[E5hed],"adj.adv.在前, 向前, 提前, 在前面"
all over,[],"adv.全部结束, 到处, 浑身, <口>完全象"
almost,[5C:lmEust],"adv.几乎, 差不多"
alone,[E5lEun],"adj.单独的, 独一无二的, 孤独的, 独自的//adv.独自地"
along,[E5lCN],"adv.往前, 向前//prep.顺着, 沿着"
already,[C:l5redi],adv.已经
among,[E5mQN],"prep.在...之中, ...之一"
an English evening,[],英语晚会
angrily,[],adv.愤怒地
anybody,[5eni7bCdi],"pron.任何人, 重要人物"
anything,[5eniWiN],pron.任何事
army,[5B:mi],"n.陆军, 军队, 大群, 大军"
arrive,[E5raiv],"vi.到达, 抵达"
as,[As],"adv.同样地, 被看作, 象//prep.当做//conj.与...一样, 当...之时, 象, 因为//[域] American Samoa, 东萨摩亚//abbr.[军] Air to Surface, 空对地"
as soon as,[],adv.一...就
ask for,[],"v.请求, 寻找"
at a street corner,[],在街道拐角
at the end of,[],"在...结尾,在....末端"
back,[bAk],"adj.后面的, 在后面, 早过去的, 前(欠)的钱//adv.向后地//n.背部, 后面//v.后退, 支持"
bank,[bANk],"n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)//vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯"
basket,[bB:skit],"n.篮, 一篮"
be able to,[],"v.能, 会"
be interested in,[],对...感兴趣
be married,[],已婚
be pleased,[],高兴
be seated,[],"v.坐下, 坐落于"
be strict with,[],对…要求严格
because,[bi5kCz; bE5kCz; bi5kEz],conj.adv.因为
believe,[bi5li:v],"v.有坚定的宗教信仰的, 相信, 信任, 认为, 想"
bell,[bel],"n.铃, 钟"
besides,[bi5saidz],adv.此外//prep.除...之外
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
blowhole,[5blEuhEul],"n.(鲸等的)呼吸孔, 喷水孔, 通风孔, 通气孔"
break,[breik],"n.休息, 暂停, 破裂, 突变//v.打破, 违犯, 折断, 削弱, 超过, 突变"
bright,[brait],"adj.明亮的, 辉煌的, 欢快的, 聪明的, 伶俐的"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
by train,[],adv.坐火车
camel,[5kAmEl],"n.骆驼, [船](打捞用的)浮筒"
catch,[kAtF],"n.捕捉, 捕获物, (窗)钩//v.捕获, 赶上(车船等), 发觉, 感染（疾病）//vi.抓住，燃着"
century,[5sentFuri; -tFEri],"n.世纪, 百年, 百个, 板球中的一百分, 百元(钞票)母星? 找到"
change,[tFeindV],"n.改变, 变化, 转变, 找回的零钱, 找头, 辅币//vt.改变, 变革, 改造, 兑换"
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
circle,[5sE:kl],"n.圆周, 圆形物, 派系, 循环//v.围, 环绕//盘旋"
city,[5siti],"n.城市, 都市, 全体居民, 城邦"
clever,[5klevE],"adj.机灵的, 聪明的"
click,[klik],v.发出滴答声//n.滴答声
collect,[kE5lekt],"v.收集, 聚集, 集中, 搜集//adj.由收件人付款的//adv.由收件人付款地"
college,[5kClidV],"n.(综合大学中的)学院, (独立的)学院, <美>大学, <英>公学, 书院, 高等专科学院, 大学, 学会"
