abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
abolish,[E5bCliF],"vt.废止, 废除(法律、制度、习俗等)"
abrupt,[E5brQpt],"adj.突然的, 陡峭的, 生硬的"
absurd,[Eb5sE:d],"adj.荒谬的, 可笑的"
abundance,[E5bQndEns],"n.丰富, 充裕, 丰富充裕"
academy,[E5kAdEmi],"n.(高等)专科院校, 研究院, 学会, 学术团体, 学院"
accessory,[Ak5sesEri],"n.附件, 零件, 附加物, 从犯, 同谋者//adj.附属的, 补充的, 同谋的, 副的"
accommodate,[E5kCmEdeit],"vt.供应, 供给, 使适应, 调节, 和解, 向...提供, 容纳, 调和//vi.适应"
accord,[E5kC:d],"n.一致, 符合, 调和, 协定//vt.一致, 给与//vi.符合"
acknowledge,[Ek5nClidV],"vt.承认, 答谢, 报偿"
acquaint,[E5kweint],"vt.使熟知, 通知"
acquisition,[7Akwi5ziFEn],"n.获得, 获得物"
activate,[5Aktiveit],"vt.刺激, 使活动//vi.有活力"
acute,[E5kju:t],"adj.敏锐的, [医]急性的, 剧烈"
adhere,[Ed5hiE],"vi.粘附, 胶着, 坚持//v.坚持"
adjacent,[E5dVeisEnt],"adj.邻近的, 接近的"
adjoin,[E5dVCin],"v.邻接, 毗连"
administer,[Ed5ministE],"v.管理, 给予, 执行"
adolescent,[7AdEu5lesnt],"adj.青春期的, 青春的//n.青少年"
advent,[5AdvEnt],"n.(尤指不寻常的人或事)出现, 到来"
adverse,[5AdvE:s],"adj.不利的, 敌对的, 相反的"
advertise,[5AdvEtaiz],"v.做广告, 登广告"
advocate,[5AdvEkit],"n.提倡者, 鼓吹者//vt.提倡, 鼓吹"
aerial,[5ZEriEl],"adj.航空的, 生活在空气中的, 空气的, 高耸的//n.天线"
aesthetic,[i:s5Wetik],"adj.美学的, 审美的, 有审美感的"
affiliate,[E5filieit],"v.(使...)加入, 接受为会员"
affirm,[E5fE:m],"v.断言, 确认, 肯定"
afflict,[E5flikt],"vt.使痛苦, 折磨"
agenda,[E5dVendE],n.议程
aggravate,[5AgrEveit],"vt.使恶化, 加重"
